ID: 424208 | Name: PREMIERE CLUBES FHD | Group: ⚽ PREMIERE CLUBES
ID: 424209 | Name: PREMIERE CLUBES HD | Group: ⚽ PREMIERE CLUBES
ID: 424210 | Name: PREMIERE CLUBES SD | Group: ⚽ PREMIERE CLUBES
ID: 424212 | Name: PREMIERE 2 FHD | Group: ⚽ PREMIERE CLUBES
ID: 424213 | Name: PREMIERE 2 HD | Group: ⚽ PREMIERE CLUBES
ID: 424214 | Name: PREMIERE 2 SD | Group: ⚽ PREMIERE CLUBES
ID: 424216 | Name: PREMIERE 3 FHD | Group: ⚽ PREMIERE CLUBES
ID: 424217 | Name: PREMIERE 3 HD | Group: ⚽ PREMIERE CLUBES
ID: 424218 | Name: PREMIERE 3 SD | Group: ⚽ PREMIERE CLUBES
ID: 424220 | Name: PREMIERE 4 FHD | Group: ⚽ PREMIERE CLUBES
ID: 424221 | Name: PREMIERE 4 HD | Group: ⚽ PREMIERE CLUBES
ID: 424222 | Name: PREMIERE 4 SD | Group: ⚽ PREMIERE CLUBES
ID: 424224 | Name: PREMIERE 5 HD | Group: ⚽ PREMIERE CLUBES
ID: 424225 | Name: PREMIERE 5 SD | Group: ⚽ PREMIERE CLUBES
ID: 424227 | Name: PREMIERE 6 FHD | Group: ⚽ PREMIERE CLUBES
ID: 424228 | Name: PREMIERE 6 HD | Group: ⚽ PREMIERE CLUBES
ID: 424229 | Name: PREMIERE 6 SD | Group: ⚽ PREMIERE CLUBES
ID: 424231 | Name: PREMIERE 7 FHD | Group: ⚽ PREMIERE CLUBES
ID: 424232 | Name: PREMIERE 7 HD | Group: ⚽ PREMIERE CLUBES
ID: 424233 | Name: PREMIERE 7 SD | Group: ⚽ PREMIERE CLUBES
ID: 424235 | Name: PREMIERE 8 FHD | Group: ⚽ PREMIERE CLUBES
ID: 424236 | Name: PREMIERE 8 HD | Group: ⚽ PREMIERE CLUBES
ID: 424237 | Name: PREMIERE 8 SD | Group: ⚽ PREMIERE CLUBES
ID: 424812 | Name: UNIVERSAL PREMIERE FHD | Group: ▶️ FILMES & SERIES
ID: 424813 | Name: UNIVERSAL PREMIERE HD | Group: ▶️ FILMES & SERIES
ID: 424814 | Name: UNIVERSAL PREMIERE SD | Group: ▶️ FILMES & SERIES
ID: 426396 | Name: Premiere 2 4K | Group: ▶️ 4K UHD
ID: 426397 | Name: Premiere Clubes 4K | Group: ▶️ 4K UHD
ID: N/A | Name: Premiere Annee Legendado | Group: ▶️Legendados
