ID: 417984 | Name: RECORD NEWS SD | Group: ▶️ NOTICIAS | URL: http://filtror7679.site:80/031532627/513117897/417984.m3u8
ID: 417983 | Name: RECORD NEWS HD | Group: ▶️ NOTICIAS | URL: http://filtror7679.site:80/031532627/513117897/417983.m3u8
ID: 417982 | Name: RECORD NEWS FHD | Group: ▶️ NOTICIAS | URL: http://filtror7679.site:80/031532627/513117897/417982.m3u8
ID: 417887 | Name: Record Vila Real MT HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417887.m3u8
ID: 417886 | Name: Record TV Vitoria ES FHD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417886.m3u8
ID: 417885 | Name: Record TV Tropical RN HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417885.m3u8
ID: 417884 | Name: Record TV Juina HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417884.m3u8
ID: 417883 | Name: Record Tv Juara HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417883.m3u8
ID: 417882 | Name: Record TV Conquista MT HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417882.m3u8
ID: 417881 | Name: Record TV Cidade CE HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417881.m3u8
ID: 417880 | Name: Record TV Cidade CE FHD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417880.m3u8
ID: 417879 | Name: Record TO HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417879.m3u8
ID: 417878 | Name: Record SP HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417878.m3u8
ID: 417877 | Name: Record SP FHD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417877.m3u8
ID: 417876 | Name: Record SIC RO HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417876.m3u8
ID: 417875 | Name: Record SD ² | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417875.m3u8
ID: 417874 | Name: Record SD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417874.m3u8
ID: 417873 | Name: Record SD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417873.m3u8
ID: 417872 | Name: Record SC NDTV HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417872.m3u8
ID: 417871 | Name: Record Santos HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417871.m3u8
ID: 417870 | Name: Record RS HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417870.m3u8
ID: 417869 | Name: Record RS FHD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417869.m3u8
ID: 417868 | Name: Record RJ SD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417868.m3u8
ID: 417867 | Name: Record RJ HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417867.m3u8
ID: 417866 | Name: Record RJ FHD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417866.m3u8
ID: 417865 | Name: Record Rio Preto HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417865.m3u8
ID: 417864 | Name: Record RIC PR FHD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417864.m3u8
ID: 417863 | Name: Record Ribeirão Preto HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417863.m3u8
ID: 417862 | Name: Record Remanso MA HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417862.m3u8
ID: 417861 | Name: Record Recife Guararapes HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/417861.m3u8
ID: 424908 | Name: CAZE TV 01 FHD | Group: ⚽ CAZÉ TV | URL: http://filtror7679.site:80/031532627/513117897/424908.m3u8
ID: 424909 | Name: CAZE TV 01 HD | Group: ⚽ CAZÉ TV | URL: http://filtror7679.site:80/031532627/513117897/424909.m3u8
ID: 424910 | Name: CAZE TV 02 FHD | Group: ⚽ CAZÉ TV | URL: http://filtror7679.site:80/031532627/513117897/424910.m3u8
ID: 424911 | Name: CAZE TV 02 HD | Group: ⚽ CAZÉ TV | URL: http://filtror7679.site:80/031532627/513117897/424911.m3u8
ID: 424912 | Name: CAZE TV 03 FHD | Group: ⚽ CAZÉ TV | URL: http://filtror7679.site:80/031532627/513117897/424912.m3u8
ID: 424913 | Name: CAZE TV 03 HD | Group: ⚽ CAZÉ TV | URL: http://filtror7679.site:80/031532627/513117897/424913.m3u8
ID: 424914 | Name: CAZE TV 04 FHD | Group: ⚽ CAZÉ TV | URL: http://filtror7679.site:80/031532627/513117897/424914.m3u8
ID: 424915 | Name: CAZE TV 04 HD | Group: ⚽ CAZÉ TV | URL: http://filtror7679.site:80/031532627/513117897/424915.m3u8
ID: 426399 | Name: Record SP 4K | Group: ▶️ 4K UHD | URL: http://filtror7679.site:80/031532627/513117897/426399.m3u8
ID: 429852 | Name: Record Cabrália BA HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/429852.m3u8
ID: 429853 | Name: Record Cabrália BA HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/429853.m3u8
ID: 429854 | Name: Record Itapoan BA HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/429854.m3u8
ID: 429855 | Name: Record Itapoan BA HD | Group: ▶️ RECORD TV | URL: http://filtror7679.site:80/031532627/513117897/429855.m3u8
ID: N/A | Name: Cadillac Records (2008) | Group: ▶️Drama | URL: http://filtror7679.site:80/movie/031532627/513117897/1492787.mp4
ID: N/A | Name: Um Momento Para Recordar (2021) | Group: ▶️Drama | URL: http://filtror7679.site:80/movie/031532627/513117897/1494730.mp4
ID: N/A | Name: Um amor para Recordar (2002) | Group: ▶️Romance | URL: http://filtror7679.site:80/movie/031532627/513117897/1497149.mp4
ID: N/A | Name: Perseguindo o Assassino (2018) | Group: ▶️Suspense | URL: http://filtror7679.site:80/movie/031532627/513117897/1497704.mp4
ID: N/A | Name: Chris Hemsworth Uma Viagem para Recordar [L] (2025) | Group: ▶️Legendados | URL: http://filtror7679.site:80/movie/031532627/513117897/1502596.mp4
ID: N/A | Name: Off the Record [L] (2019) | Group: ▶️Legendados | URL: http://filtror7679.site:80/movie/031532627/513117897/1506315.mp4
ID: N/A | Name: Perseguindo o Assassino [L] (2018) | Group: ▶️Legendados | URL: http://filtror7679.site:80/movie/031532627/513117897/1506673.mp4
ID: N/A | Name: Um Momento Para Recordar [L] (2021) | Group: ▶️Legendados | URL: http://filtror7679.site:80/movie/031532627/513117897/1508320.mp4
ID: N/A | Name: Uma Viagem para Recordar [L] (2025) | Group: ▶️Legendados | URL: http://filtror7679.site:80/movie/031532627/513117897/1508528.mp4
ID: N/A | Name: Uma Viagem para Recordar (2024) | Group: ▶️Drama | URL: http://filtror7679.site:80/movie/031532627/513117897/1510858.mp4
ID: N/A | Name: Uma Amizade para Recordar (2025) | Group: ▶️Drama | URL: http://filtror7679.site:80/movie/031532627/513117897/1514591.mp4
ID: N/A | Name: Uma Amizade para Recordar [L] (2025) | Group: ▶️Legendados | URL: http://filtror7679.site:80/movie/031532627/513117897/1514620.mp4
ID: N/A | Name: Uma Amizade para Recordar [Lançamento] (2025) | Group: ▶️Lancamentos | URL: http://filtror7679.site:80/movie/031532627/513117897/1514652.mp4
ID: N/A | Name: Um Amor para Recordar [L] (2002) | Group: ▶️Legendados | URL: http://filtror7679.site:80/movie/031532627/513117897/1515302.mp4
